koid	name	op	
KO05891	TU-4455	cpxR,cpxA
KO05547	TU-3903	mazF,mazE,mazG
KO05545	TU-3893	ygcS,ygcR,ygcQ,ygcW,ygcU
KO05544	TU-3890	cysH,cysJ,cysI
KO05542	TU-3887	casA,casB,casC,ygbT,ygbF,casD,casE
KO05541	TU-3886	ygbT,ygbF,casD,casE
KO05540	TU-3884	ygbT,ygbF,casE
KO05367	TU-3603	alkB,ada
KO05364	TU-3600	aphA,napB,napC,napD,napG,napH
KO05361	TU-3591	bcr,rsuA
KO05368	TU-3604	apbE,ompC
KO03875	TU-1126	ynjB,ynjC,ynjD,ynjE,ydjY,ydjZ,ynjA
KO03874	TU-1125	ynjB,ynjC,ynjD,ynjE,ydjX,ydjY,ydjZ,ynjA
KO03876	TU-1127	ynjB,ynjC,ynjD,ynjE,ynjA
KO05098	TU-3189	paaZ,tynA
KO05769	TU-4279	prlC,rsmJ
KO05764	TU-4272	rbbA,yhiI,yhhJ
KO05164	TU-3280	pntB,pntA
KO05167	TU-3289	fumC,fumA
KO05163	TU-3279	mdtI,mdtJ
KO05168	TU-3291	uidC,uidA,uidB
KO04389	TU-1972	tag,yiaC
KO05335	TU-3560	yegX,thiD,thiM
KO04386	TU-1966	bcsG,bcsE,bcsF
KO04418	TU-2016	waaL,waaF,waaC,hldD
KO04149	TU-1566	ygaH,ygaZ
KO04413	TU-2006	lldD,lldP,lldR
KO04411	TU-2001	mtlD,mtlR
KO04416	TU-2012	envC,yibQ
KO04141	TU-1552	csiR,gabD,lhgO,gabP,gabT,csiD
KO04143	TU-1556	ygaP,ygaV
KO04706	TU-2579	htrE,yadM
KO04705	TU-2578	yadL,yadK
KO04703	TU-2575	panB,panC
KO04709	TU-2582	folK,pcnB
KO04962	TU-2979	yccS,yccF
KO04562	TU-2309	yjbL,yjbM
KO04563	TU-2310	pspG,dusA
KO04567	TU-2315	yjbQ,yjbR
KO04564	TU-2312	alr,dnaB
KO04366	TU-1925	rhsB,yhhH
