koid	op
KO03242	nikA,nikB,nikC,nikD,nikE
KO05907	eptC,yijO
KO06188	slp,dctR
KO06189	yjjB,dnaT,dnaC,yjjA
KO06186	ivbL,ilvB,ilvN
KO06180	rpmB,rpmG,mutM
KO06181	arsR,arsB,arsC
KO06051	atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC
KO06052	skp,lpxD,fabZ,lpxA
KO06055	creA,creB,creC,creD
KO03468	ylcH,ybcN,ninE,ybcO,rusA,ylcG
KO05972	bsmA,yjfN
KO05402	pdxB,usg,truA,dedA
KO05401	usg,truA,dedA
KO05406	prmB,aroC,mepA,yfcA,epmC,yfcL
KO05407	yfcV,yfcS,yfcR,yfcQ,yfcP,yfcO
KO03460	sfmC,sfmD
KO03461	sfmH,sfmF
KO06146	rpsA,ihfB
KO03467	ybcL,ybcM
KO05574	kduI,kduD
KO05358	fruB,fruK,fruA
KO03804	dicB,ydfD
KO03808	ynfB,speG
KO05357	psuK,psuG
KO05355	rihB,nupX
KO05350	mglB,mglA,mglC
KO05351	folE,yeiB,galS
KO05753	yhhX,yhhW
KO05751	gntK,gntU
KO05756	ugpB,ugpA,ugpE,ugpC,ugpQ
KO05757	livK,livH,livM,livG,livF
KO05991	pyrL,pyrB,pyrI
KO03934	fliF,fliG,fliH,fliI,fliJ,fliK
KO03935	fliL,fliM,fliN,fliO,fliP,fliQ,fliR
KO03936	fliN,fliO,fliP,fliQ,fliR
KO03930	yedE,yedF
KO05194	ydiJ,menI
KO04116	yfiP,pka
KO04758	rclB,rclC
KO04028	arnE,arnF
KO04755	ykgM,ykgO
KO04022	glpA,glpB,glpC
KO04753	ecpA,ecpB,ecpC,ecpD,ecpE
KO04020	nrdB,yfaE
KO05316	wbbJ,wbbK
KO04628	lptF,lptG
KO04339	hslR,hslO
KO04338	yrfG,hslR,hslO
KO04331	nirB,nirD,nirC
KO04801	tomB,hha
KO04803	priC,ybaM
KO03233	chbB,chbC,chbA,chbR,chbF
KO03232	flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI
KO03231	flgK,flgL
KO03237	ilvB,ilvN
KO03236	ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,dsbE,ccmH
KO03235	napF,napD,napA,napG,napH,napB,napC
KO03234	garP,garL,garR,garK
KO03239	queA,tgt,yajC,secD
KO04935	hcp,hcr
KO04243	ygiM,cca
KO04242	yqiJ,yqiK
KO04933	poxB,ltaE,ybjT
KO04932	ltaE,ybjT
KO05022	minC,minD,minE
KO04314	accB,accC
KO03418	clpP,clpX
KO04317	dusB,fis
KO06137	fecA,fecB,fecC,fecD,fecE
KO06136	nikA,nikB,nikC,nikD,nikE,nikR
KO06135	iscR,iscS,iscU,iscA
KO06069	ilvE,ilvD,ilvA
KO06066	gntX,nfuA
KO06060	def,fmt
KO03349	yafN,yafO,yafP
KO03346	yafL,rayT
KO03345	gmhA,yafJ
KO06087	yacC,speE,speD
KO03565	ybjQ,amiD
KO06082	rpoE,rseA,rseB,rseC
KO03560	rimK,ybjN
KO06088	yicR,rpmB,rpmG,mutM
KO03691	rssA,rssB
KO03697	oppB,oppC,oppD,oppF
KO03696	oppA,oppB,oppC,oppD,oppF
KO05691	mlaF,mlaE,mlaD,mlaC,mlaB
KO05690	mlaC,mlaB
KO05697	sspA,sspB
KO05695	nanA,nanT,nanE,nanK,yhcH
KO05698	rplM,rpsI
KO05501	yfjL,yfjK
KO04092	bepA,yfgD
KO04721	rcsF,tsaA
KO03764	hicA,hicB
KO03767	ydcV,patD
KO03766	ydcS,ydcT,ydcU,ydcV,patD
KO03763	ydcN,ydcP
KO04091	hyfA,hyfB,hyfC,hyfD,hyfE,hyfF,hyfG,hyfH,hyfI,hyfJ,hyfR,focB
KO05328	yegL,yegK
KO03839	rnt,lhr
KO05323	wza,wzb,wzc,wcaA,wcaB,wcaC,wcaD,wcaE,wcaF,gmd,wcaG,wcaH,wcaI,cpsB,cpsG,wcaJ,wzxC
KO05322	wcaK,wcaL,wcaM
KO03837	nemR,nemA
KO05320	rfbB,rfbD,rfbA,rfbC,wzxB,glf,wbbH,wbbI,wbbJ,wbbK
KO05324	dcd,asmA
KO05057	yciK,btuR
KO05056	trpL,trpE,trpD,trpC,trpB,trpA
KO05216	astC,astA,astD,astB,astE
KO05212	chbB,chbC,chbA,chbR,chbF,chbG
KO05036	lolB,ispE
KO05031	dhaK,dhaL,dhaM
KO03904	yebS,yebT
KO04103	hcaE,hcaF,hcaC,hcaB,hcaD,yphA
KO04108	yfhH,yfhL
KO04038	folX,yfcH
KO04031	yfbL,yfbM
KO04032	yfbO,yfbP
KO04633	yjhB,yjhC,ythA
KO04328	yheU,prkB
KO04329	crp,yhfK
KO04320	acrE,acrF
KO04322	yhdX,yhdY,yhdZ
KO04324	def,fmt,rsmB,trkA
KO04327	yheS,yheT,yheU,prkB
KO04818	ppiB,lpxH
KO04817	purE,purK
KO04815	allC,allE
KO04812	tesA,ybbO
KO04810	qmcA,ybbJ
KO03220	lpxA,lpxB,rnhB,dnaE
KO03221	secM,secA
KO03222	cusC,cusF,cusB
KO03223	mdtA,mdtB,mdtC,mdtD,baeS,baeR
KO03224	gfcA,gfcB,gfcC,gfcD,gfcE,etp,etk
KO03225	cysJ,cysI
KO03227	dnaA,dnaN
KO03228	flhB,flhA
KO04922	moeA,moeB
KO04257	ygjP,ygjQ
KO04926	ybjJ,ybjI,ybjH
KO04925	ybjG,deoR
KO03592	elfA,elfD,elfC,elfG,ycbU,ycbV,ycbF
KO06070	lptD,surA,pdxA
KO06071	pdxA,rsmA,apaG,apaH
KO03596	pqiA,pqiB,pqiC
KO06074	rpsO,pnp
KO06075	mutY,yggX,mltC
KO03356	proB,proA
KO06095	aspA,dcuA
KO03571	lolA,rarA
KO06092	uxaC,uxaA
KO03578	serC,aroA
KO03680	ychA,kdsA
KO03689	narG,narH,narJ,narI
KO05683	rlmE,ftsH
KO05686	yhbE,obgE
KO05687	rplU,rpmA
KO05514	yqaB,yqaA
KO03770	curA,mcbR
KO06160	idnD,idnO,idnT,idnR
KO05332	gatY,gatZ,gatA,gatB,gatD
KO05337	yehD,yehC,yehB,yehA
KO06163	menA,rraA
KO05555	ygdD,rlmM
KO06164	rimP,nusA,infB
KO06165	mtlA,mtlD,mtlR
KO05883	yihQ,yihP,yihO
KO06168	aceE,aceF
KO05205	rpmI,rplT
KO05206	infC,rpmI,rplT
KO05881	glnA,glnL,glnG
KO05200	btuE,btuD
KO05203	pheM,pheS,pheT
KO03916	znuC,znuB
KO05028	ldcA,cvrA
KO03918	yecD,yecE
KO03919	yecN,cmoA,cmoB
KO03865	ydiZ,yniA
KO03945	yedY,yedZ
KO05070	puuA,puuP
KO04138	yfjX,yfjY,ypjJ,yfjZ,ypjF
KO04135	yfjP,yfjQ
KO04136	yfjR,ypjK,yfjS,yfjT
KO04132	yfjI,yfjJ
KO04027	arnD,arnT,arnE,arnF
KO04026	arnB,arnC,arnA,arnD,arnT,arnE,arnF
KO04750	paoA,paoB,paoC,paoD
KO04008	yejL,yejM
KO04001	yeiR,lpxT
KO05834	yidH,yidG,yidF
KO04005	yejE,yejF
KO04004	yejB,yejE,yejF
KO04790	panE,yajL
KO04793	yajG,ampG
KO04792	cyoA,cyoB,cyoC,cyoD,cyoE
KO04315	yhdT,panF,prmA
KO04642	fimD,fimF,fimG,fimH
KO04641	fimC,fimD,fimF,fimG,fimH
KO04640	fimA,fimI,fimC,fimD,fimF,fimG,fimH
KO04644	uxuA,uxuB
KO04318	yhdJ,yhdU
KO04485	ubiE,ubiJ,ubiB
KO04484	udp,rmuC
KO04487	ubiD,fre
KO04486	tatA,tatB,tatC,tatD
KO04481	pldB,yigL
KO04480	recQ,rhtC
KO04489	trkH,hemG
KO04488	pepQ,yigZ,trkH,hemG
KO04867	ybeZ,ybeY,ybeX,lnt
KO04866	ybeX,lnt
KO04865	gltI,gltJ,gltK,gltL
KO04864	gltJ,gltK,gltL
KO03219	ackA,pta
KO03218	ydiQ,ydiR,ydiS,ydiT,fadK
KO03215	thrS,infC
KO03216	nrdE,nrdF
KO03211	yhfG,fic,pabA
KO03212	pyrG,eno
KO04265	yqjC,yqjD,yqjE,yqjK
KO04264	yqjA,mzrA
KO03361	yagE,yagF,yagG,yagH
KO03360	mmuP,mmuM
KO03547	mntR,ybiR
KO04980	pgaA,pgaB,pgaC,pgaD
KO04230	yqhG,yqhH
KO05839	ibpA,ibpB
KO04235	ygiB,ygiC
KO05831	ilvB,ilvN,uhpA,uhpB,uhpC
KO03788	marR,marA,marB
KO03783	lsrF,lsrG
KO03782	lsrA,lsrC,lsrD,lsrB
KO03780	fdnG,fdnH,fdnI
KO05781	yhjR,bcsA,bcsB,bcsZ
KO05783	dppA,dppB,dppC,dppD,dppF
KO05239	yoaA,tsaB,yeaY
KO05238	tsaB,yeaY
KO05232	yeaR,yoaG
KO05010	mnmA,hflD,purB
KO03961	yeeS,yeeT,cbeA,cbtA
KO03960	yeeR,yeeS,yeeT,cbeA,cbtA
KO05014	xisE,intE
KO03965	hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI
KO03964	hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI
KO05307	sbmC,yeeA
KO05300	nac,cbl
KO05302	cobU,cobS,cobT
KO04334	frlA,frlB,frlC,frlD
KO05309	yeeE,yeeD
KO05658	higB,higA
KO04123	yfiR,yfiN,yfiB
KO04121	pheL,pheA
KO04124	ypjD,yfjD
KO03435	ybaB,recR
KO04016	atoS,atoC
KO04017	atoD,atoA,atoE,atoB
KO04019	nrdA,nrdB,yfaE
KO03826	malX,malY
KO05835	yidK,yidJ
KO04783	sbcD,sbcC
KO04300	yhcA,yhcD
KO04655	yjjQ,bglJ
KO04657	holD,rimI,yjjG,prfC
KO04658	osmY,ytjA
KO04659	yjjU,yjjV
KO04498	yihI,hemN
KO04873	nagC,umpH
KO04874	nagB,nagA,nagC,umpH
KO04875	uof,fur
KO04877	ybfF,ybfE
KO03208	sucB,sucC,sucD
KO03209	yejA,yejB,yejE,yejF
KO03203	thrA,thrB,thrC
KO03201	fucP,fucI,fucK
KO03206	sdhC,sdhD,sdhA,sdhB
KO03207	sucA,sucB
KO03204	ilvM,ilvE,ilvD,ilvA
KO04278	yraH,yraI,yraJ,yraK
KO04279	lpoA,yraN,diaA,yraP
KO04276	kbaZ,agaV,agaS,kbaY
KO04277	agaB,agaC,agaD,agaI
KO04275	prlF,yhaV
KO04273	yhaB,yhaC
KO03374	yahI,yahJ
KO03373	yahD,yahE,yahF,yahG
KO03370	ykgE,ykgF,ykgG
KO04241	yqiH,yqiI
KO03559	ybjC,nfsA,rimK,ybjN
KO03552	yliE,yliF
KO03550	iaaA,gsiA,gsiB,gsiC,gsiD
KO05538	cysD,cysN,cysC
KO05829	yicO,yicN
KO05530	hycA,hycB,hycC,hycD,hycE,hycF,hycG,hycH,hycI
KO05821	rpmB,rpmG
KO05534	nlpD,rpoS
KO05535	umpG,pcm
KO03797	ynfO,ydfO
KO05796	yiaJ,ysaA
KO05794	xylA,xylB
KO05793	yiaB,yiaA
KO05799	yiaW,yiaV
KO05224	ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG
KO05225	msrB,yeaC
KO05220	selD,topB
KO05221	ydjA,selD,topB
KO03973	mdtD,baeS,baeR
KO05009	phoP,phoQ
KO03979	yegT,yegU,yegV
KO05312	yefM,yoeB
KO05311	yeeZ,yeeY
KO05317	glf,wbbH,wbbI,wbbJ,wbbK
KO05642	nudF,yqiB
KO05318	wzxB,glf,wbbH,wbbI,wbbJ,wbbK
KO05319	rfbA,rfbC,wzxB,glf,wbbH,wbbI,wbbJ,wbbK
KO05649	ygiF,glnE
KO06106	gadA,gadX
KO06107	hflD,purB
KO06105	ilvL,ilvM,ilvE,ilvD,ilvA
KO03589	ycbK,ycbL
KO06068	hisB,hisH,hisA,hisF,hisI
KO03421	ppiD,ybaV,fadM
KO03585	ycaR,kdsB
KO03584	msbA,lpxK,ycaQ
KO03587	smtA,mukF,mukE,mukB
KO05011	rluE,nudJ
KO06078	nudB,yebC,ruvC
KO04064	yfeC,yfeD
KO05015	cohE,ymfJ
KO04069	ptsH,ptsI,crr
KO04668	creA,creB,creC
KO04661	deoB,deoD
KO04660	deoC,deoA,deoB,deoD
KO04663	serB,radA,nadR
KO04469	wzzE,wecB,wecC,rffG,rffH,wecD,wecE,wzxE,wzyE,wecG
KO04468	wecA,wzzE,wecB,wecC,rffG,rffH,wecD,wecE,wzxE,wzyE,wecG
KO04463	ilvL,ilvM,ilvE,ilvD,ilvA
KO03567	macA,macB
KO04684	surA,pdxA,rsmA,apaG,apaH
KO04683	rsmA,apaG,apaH
KO04682	apaG,apaH
KO04681	caiT,caiA,caiB,caiC,caiD,caiE
KO04680	caiB,caiC,caiD,caiE
KO04689	thiB,thiP,thiQ
KO04688	araB,araA,araD
KO03562	potF,potG,potH,potI,ybjO
